COIL_NO,NUMBER_OF_PASSES,PASS_NO,PASS_INPUT_THICKNESS,PASS_OUTPUT_THICKNESS,PASS_START_TIME,PASS_END_TIME,TOTAL_POWER_CONSUMPTION
K4A0964000,5,4,0.82,0.6,24:01.0,29:37.0,0
K4A0955000,5,1,1.98,1.45,42:30.0,54:29.0,0
K4A0955000,5,4,0.75,0.55,06:39.0,13:09.0,0
K4A0955000,5,5,0.55,0.41,13:19.0,22:20.0,0
K4A1046000,4,4,0.63,0.42,49:37.0,57:55.0,0
K4A0776000,4,2,1.37,0.94,28:29.0,32:48.0,0
K4A0776000,4,3,0.94,0.65,33:30.0,38:52.0,0
K4A1029000,4,1,1.96,1.41,50:21.0,05:56.0,0
K4A0950000,4,2,1.37,0.95,45:49.0,52:00.0,0
K4A0950000,4,3,0.95,0.66,52:18.0,58:44.0,0
K4A0953000,5,3,1.04,0.74,27:34.0,32:40.0,0
K4A0953000,5,4,0.75,0.54,33:31.0,40:01.0,0
K4A0936000,5,5,0.49,0.34,47:09.0,56:42.0,0
K4A0898000,4,3,0.92,0.6,20:27.0,26:55.0,0
K4A1299000,4,1,2,1.37,42:43.0,52:38.0,0
K4A1299000,4,2,1.37,0.94,53:29.0,58:29.0,0
K491463000,7,4,2.17,1.87,28:24.0,31:06.0,0
K491463000,7,5,1.88,1.61,31:24.0,34:09.0,0
K491463000,7,6,1.62,1.39,34:54.0,38:27.0,0
K470854000,7,2,2.53,2.15,58:37.0,00:40.0,0
K470854000,7,3,2.16,1.83,01:02.0,03:16.0,0
K470854000,7,4,1.83,1.56,03:52.0,06:35.0,0
K491733000,6,5,1.46,1.21,37:26.0,40:49.0,0
K491733000,6,6,1.22,1.02,41:21.0,45:01.0,0
K481412000,6,1,2.81,2.24,52:09.0,58:21.0,0
K491704000,6,3,2.15,1.77,17:36.0,20:21.0,0
K491704000,6,4,1.78,1.46,20:47.0,23:38.0,0
K491704000,6,5,1.47,1.22,23:59.0,27:15.0,0
K491691000,6,2,1.75,1.4,47:44.0,51:12.0,0
K491691000,6,3,1.4,1.13,51:42.0,55:07.0,0
K491691000,6,4,1.13,0.92,55:31.0,59:27.0,0
K491694000,6,3,1.37,1.11,16:20.0,20:04.0,0
K491694000,6,4,1.11,0.9,20:25.0,24:43.0,0
K491694000,6,5,0.89,0.73,25:06.0,29:29.0,0
K491697000,6,6,0.73,0.61,34:15.0,41:20.0,0
K491683000,7,5,0.85,0.71,47:11.0,52:52.0,0
K4A1197000,5,1,2.8,2.23,22:57.0,30:41.0,0
K4A1197000,5,2,2.22,1.76,31:37.0,35:09.0,0
K4A1197000,5,3,1.76,1.38,35:28.0,39:17.0,0
K4A1268000,6,1,2.21,1.67,02:44.0,11:07.0,0
K4A1268000,6,2,1.68,1.29,11:43.0,14:50.0,0
K4A1268000,6,3,1.29,0.98,15:23.0,19:27.0,0
K4A1274000,6,4,0.99,0.75,07:47.0,12:56.0,0
K4A1198000,5,3,1.76,1.4,29:27.0,33:25.0,0
K4A1198000,5,4,1.41,1.1,33:52.0,38:08.0,0
K4A1135000,5,2,2.21,1.76,18:49.0,21:26.0,0
K4A1135000,5,3,1.76,1.38,21:43.0,24:36.0,0
K4A1135000,5,4,1.38,1.08,24:57.0,28:32.0,0
K4A1163000,5,3,1.77,1.4,48:00.0,50:56.0,0
K4A1163000,5,4,1.4,1.09,51:24.0,55:14.0,0
K4A1163000,5,5,1.1,0.86,55:40.0,59:47.0,0
K4A1145000,6,4,0.99,0.75,39:53.0,44:57.0,0
K4A1145000,6,5,0.74,0.55,45:26.0,51:01.0,0
K4A1145000,6,6,0.56,0.42,51:34.0,59:07.0,0
K4A1014000,5,5,0.6,0.44,28:31.0,38:25.0,0
K4A0896000,5,1,2.01,1.45,43:52.0,56:16.0,0
K4A1186000,5,1,2.77,2.21,34:31.0,40:59.0,0
K4A1186000,5,2,2.22,1.76,41:36.0,44:59.0,0
K4A1186000,5,3,1.77,1.38,45:30.0,48:41.0,0
K4A1204000,5,1,2.79,2.22,02:45.0,09:11.0,0
K4A1204000,5,2,2.21,1.76,09:41.0,12:40.0,0
K4A1204000,5,3,1.77,1.38,13:01.0,16:07.0,0
K4A1180000,5,2,2.21,1.76,37:13.0,40:35.0,0
K4A1180000,5,3,1.76,1.38,40:57.0,44:03.0,0
K4A1180000,5,4,1.38,1.08,44:27.0,48:35.0,0
K4A1070000,5,1,2.78,2.22,56:46.0,03:05.0,0
K4A1070000,5,2,2.21,1.77,03:53.0,07:27.0,0
K4A1201000,5,4,1.43,1.14,38:46.0,43:16.0,0
K4A1201000,5,5,1.14,0.91,43:38.0,48:26.0,0
K4A1202000,5,1,2.77,2.24,22:16.0,28:20.0,0
K4A1165000,5,1,2.81,2.22,43:17.0,49:04.0,0
K4A1194000,5,3,1.77,1.38,08:03.0,11:42.0,0
K4A1194000,5,4,1.38,1.08,12:22.0,16:40.0,0
K4A1027000,5,5,0.55,0.41,43:40.0,52:04.0,0
K4A0985000,5,2,1.61,1.2,30:11.0,34:02.0,0
K4A0985000,5,3,1.2,0.87,34:27.0,38:47.0,0
K4A1018000,4,1,2.2,1.45,43:39.0,51:10.0,0
K4A1018000,4,2,1.45,0.97,51:49.0,56:30.0,0
K4A1048000,4,1,2.02,1.37,57:44.0,10:12.0,0
K4A1048000,4,2,1.36,0.93,11:41.0,16:57.0,0
K4A1048000,4,4,0.62,0.41,24:20.0,33:04.0,0
K4A0818000,4,1,1.97,1.46,52:22.0,06:29.0,0
K4A1042000,4,4,0.63,0.41,01:21.0,11:05.0,0
K4A1100000,4,1,2,1.4,23:47.0,37:47.0,0
K4A1211000,5,5,1.09,0.86,36:46.0,40:55.0,0
K4A0964000,5,5,0.6,0.44,30:04.0,36:53.0,0
K4A1209000,5,5,1.09,0.86,16:41.0,21:12.0,0
K4A0776000,4,1,2,1.36,18:01.0,27:35.0,0
K4A0950000,4,4,0.65,0.45,59:49.0,07:39.0,0
K4A0953000,5,5,0.54,0.39,41:29.0,50:04.0,0
K4A0936000,5,4,0.7,0.49,38:38.0,46:32.0,0
K4A0802000,4,3,0.94,0.65,35:34.0,41:31.0,0
K4A0802000,4,4,0.65,0.44,42:31.0,49:43.0,0
K472410000,6,2,2.25,1.83,58:00.0,00:15.0,0
K472410000,6,3,1.83,1.51,00:38.0,03:20.0,0
K472410000,6,4,1.51,1.27,03:39.0,06:27.0,0
K491696000,6,2,1.75,1.4,37:06.0,41:04.0,0
K491696000,6,3,1.4,1.13,41:43.0,45:27.0,0
K491696000,6,4,1.14,0.92,45:47.0,49:41.0,0
K491696000,6,5,0.92,0.75,50:18.0,54:49.0,0
K491704000,6,1,3.17,2.62,07:04.0,13:10.0,0
K491704000,6,2,2.6,2.14,13:57.0,17:00.0,0
K491691000,6,5,0.92,0.75,00:05.0,04:43.0,0
K491695000,6,1,2.19,1.74,16:30.0,24:55.0,0
K491695000,6,2,1.74,1.4,25:37.0,29:02.0,0
K491695000,6,5,0.92,0.75,37:55.0,42:20.0,0
K491695000,6,6,0.75,0.62,42:47.0,48:21.0,0
K491693000,6,5,0.92,0.75,16:56.0,21:34.0,0
K491693000,6,6,0.75,0.61,21:53.0,27:18.0,0
K491692000,6,1,2.2,1.71,16:37.0,24:08.0,0
K491692000,6,2,1.7,1.37,24:54.0,28:15.0,0
K491694000,6,2,1.69,1.37,12:43.0,15:58.0,0
K482524000,7,7,1.06,0.86,10:16.0,15:21.0,0
K490493000,6,1,2.49,2.01,20:34.0,27:13.0,0
K491697000,6,5,0.9,0.73,28:53.0,33:49.0,0
K4A0599000,7,6,1.99,1.71,09:44.0,12:43.0,0
K4A0599000,7,7,1.72,1.5,12:59.0,15:50.0,0
K491702000,6,1,3.19,2.59,51:57.0,59:21.0,0
K491683000,7,6,0.71,0.6,53:18.0,00:55.0,0
K4A1188000,6,1,2.81,2.3,09:09.0,15:21.0,0
K4A1188000,6,2,2.29,1.9,15:59.0,19:07.0,0
K4A1191000,5,2,2.22,1.77,11:22.0,14:08.0,0
K4A1191000,5,3,1.77,1.42,14:26.0,17:13.0,0
K4A1200000,5,1,2.81,2.23,29:13.0,36:44.0,0
K4A1212000,5,1,2.81,2.22,57:33.0,03:55.0,0
K4A1212000,5,2,2.22,1.77,04:26.0,07:23.0,0
K4A1212000,5,3,1.78,1.4,07:47.0,10:38.0,0
K4A1212000,5,4,1.4,1.1,10:58.0,14:37.0,0
K4A1212000,5,5,1.1,0.87,14:56.0,18:55.0,0
K4A1197000,5,4,1.39,1.08,39:43.0,44:10.0,0
K4A1197000,5,5,1.08,0.85,44:28.0,48:57.0,0
K4A1307000,5,5,1.09,0.85,36:43.0,40:55.0,0
K4A1190000,5,1,2.79,2.22,49:17.0,54:33.0,0
K4A1190000,5,2,2.21,1.76,55:18.0,57:37.0,0
K4A1014000,5,2,1.48,1.12,08:12.0,14:51.0,0
K4A1014000,5,3,1.12,0.83,15:32.0,20:43.0,0
K4A1014000,5,4,0.83,0.6,21:23.0,28:06.0,0
K4A0896000,5,5,0.54,0.39,15:34.0,24:08.0,0
K4A1201000,5,1,2.8,2.22,23:49.0,30:39.0,0
K4A1201000,5,2,2.22,1.77,31:15.0,34:29.0,0
K4A1201000,5,3,1.77,1.42,34:48.0,38:23.0,0
K4A1365000,5,1,2.82,2.23,41:12.0,48:59.0,0
K4A1183000,5,4,1.39,1.08,27:07.0,30:34.0,0
K4A1183000,5,5,1.08,0.86,30:56.0,35:22.0,0
K4A1257000,5,5,1.09,0.86,56:41.0,00:57.0,0
K4A1376000,5,2,1.47,1.12,29:29.0,40:49.0,0
K4A1376000,5,3,1.1,0.79,41:18.0,42:36.0,0
K4A1376000,5,4,0.8,0.58,43:22.0,44:39.0,0
K4A1376000,5,5,0.58,0.42,45:27.0,47:39.0,0
K4A1194000,5,5,1.08,0.86,17:18.0,21:34.0,0
K4A1162000,5,1,2.77,2.24,38:02.0,43:42.0,0
K4A1162000,5,2,2.21,1.76,44:35.0,47:08.0,0
K4A1156000,5,4,1.38,1.08,18:02.0,21:44.0,0
K4A1156000,5,5,1.08,0.85,22:13.0,26:36.0,0
K4A1408000,5,4,1.39,1.09,46:48.0,50:28.0,0
K4A1408000,5,5,1.09,0.86,50:57.0,55:19.0,0
K4A1189000,5,2,2.21,1.76,17:48.0,21:06.0,0
K4A1189000,5,3,1.76,1.38,21:32.0,24:40.0,0
K4A1189000,5,4,1.39,1.09,25:01.0,28:43.0,0
K4A1168000,5,1,2.81,2.22,14:40.0,21:22.0,0
K4A1168000,5,2,2.21,1.76,22:23.0,25:44.0,0
K4A1168000,5,3,1.77,1.38,26:08.0,29:22.0,0
K4A1399000,5,1,1.98,1.49,49:51.0,12:45.0,0
K4A1399000,5,2,1.46,1.08,13:29.0,18:39.0,0
K4A1399000,5,5,0.57,0.41,33:47.0,42:38.0,0
K4A1129000,6,6,1.09,0.9,30:22.0,34:36.0,0
K4A1078000,5,1,2.79,2.31,49:35.0,56:45.0,0
K4A1078000,5,2,2.29,1.91,57:22.0,01:05.0,0
K4A1078000,5,3,1.91,1.58,01:38.0,04:11.0,0
K4A1078000,5,4,1.59,1.31,04:49.0,08:30.0,0
K4A1150000,5,4,1.4,1.12,58:29.0,02:28.0,0
K4A1150000,5,5,1.12,0.9,03:07.0,09:18.0,0
K4A0985000,5,1,2.18,1.62,20:46.0,29:29.0,0
K4A1028000,4,1,2.01,1.36,05:09.0,14:06.0,0
K4A1028000,4,2,1.36,0.94,14:55.0,19:54.0,0
K4A1018000,4,3,0.97,0.63,57:01.0,03:09.0,0
K4A1018000,4,4,0.63,0.41,03:48.0,15:33.0,0
K4A1148000,5,1,2.83,2.22,17:44.0,25:52.0,0
K4A1148000,5,2,2.21,1.77,26:33.0,29:41.0,0
K4A1148000,5,3,1.77,1.42,30:14.0,33:48.0,0
K4A1148000,5,4,1.43,1.13,34:09.0,37:55.0,0
K4A1207000,5,1,2.8,2.22,48:05.0,54:24.0,0
K4A1207000,5,2,2.22,1.77,55:01.0,58:07.0,0
K4A1207000,5,3,1.78,1.42,58:27.0,01:16.0,0
K4A1207000,5,4,1.42,1.14,01:37.0,05:27.0,0
K4A1130000,5,1,2.79,2.24,41:03.0,47:00.0,0
K4A1100000,4,3,0.94,0.63,44:48.0,50:38.0,0
K4A1211000,5,3,1.78,1.38,28:57.0,32:07.0,0
K4A1211000,5,4,1.39,1.09,32:27.0,36:16.0,0
K4A1210000,5,1,2.79,2.22,45:24.0,51:48.0,0
K4A1210000,5,2,2.22,1.76,52:28.0,55:37.0,0
K4A1210000,5,3,1.77,1.38,56:20.0,59:32.0,0
K4A0888000,5,4,0.75,0.55,53:15.0,00:11.0,0
K4A0888000,5,5,0.55,0.4,00:21.0,09:40.0,0
K4A1015000,5,3,1.2,0.88,30:34.0,35:18.0,0
K4A0776000,4,4,0.65,0.44,39:48.0,45:58.0,0
K4A1029000,4,2,1.37,0.93,06:57.0,11:55.0,0
K4A1029000,4,3,0.94,0.62,12:33.0,19:00.0,0
K4A1029000,4,4,0.62,0.41,19:41.0,28:16.0,0
K4A0936000,5,1,2,1.36,55:25.0,19:23.0,0
K4A0936000,5,2,1.44,1,20:04.0,29:56.0,0
K4A0936000,5,3,1,0.7,30:31.0,37:46.0,0
K491463000,7,2,2.94,2.51,20:48.0,24:54.0,0
K491463000,7,3,2.51,2.16,25:12.0,28:03.0,0
K472410000,6,1,2.8,2.24,51:48.0,57:26.0,0
K472410000,6,5,1.26,1.07,06:48.0,10:19.0,0
K472410000,6,6,1.07,0.92,10:37.0,14:18.0,0
K481412000,6,2,2.26,1.83,58:59.0,01:17.0,0
K481412000,6,3,1.82,1.51,01:38.0,04:33.0,0
K481412000,6,4,1.52,1.27,05:04.0,08:18.0,0
K4A0536000,7,4,2.88,2.43,39:06.0,41:40.0,0
K4A0536000,7,5,2.43,2.07,42:00.0,45:06.0,0
K4A0536000,7,6,2.08,1.77,45:44.0,48:37.0,0
K491696000,6,1,2.22,1.74,19:30.0,27:25.0,0
K491696000,6,6,0.75,0.61,56:14.0,02:01.0,0
K491691000,6,6,0.75,0.61,05:04.0,10:40.0,0
K491774000,6,4,1.8,1.49,38:00.0,46:56.0,0
K491774000,6,5,1.48,1.27,47:06.0,53:29.0,0
K491774000,6,6,1.24,1.04,53:54.0,59:27.0,0
K491692000,6,3,1.38,1.11,28:41.0,32:09.0,0
K491692000,6,4,1.11,0.9,32:27.0,36:32.0,0
K491694000,6,1,2.22,1.72,59:48.0,09:13.0,0
K482524000,7,2,2.24,1.82,50:17.0,53:39.0,0
K482524000,7,3,1.83,1.5,54:26.0,57:30.0,0
K491683000,7,7,0.6,0.51,01:16.0,10:10.0,0
K491688000,7,2,1.58,1.28,27:40.0,31:34.0,0
K491688000,7,3,1.29,1.04,31:57.0,35:14.0,0
K491688000,7,4,1.04,0.85,35:33.0,39:39.0,0
K4A1191000,5,4,1.43,1.14,17:41.0,21:18.0,0
K4A1191000,5,5,1.14,0.9,21:40.0,25:25.0,0
K4A0733000,5,3,1.08,0.79,25:43.0,30:18.0,0
K4A0733000,5,4,0.79,0.57,30:50.0,36:54.0,0
K4A1274000,6,1,2.2,1.67,50:07.0,58:56.0,0
K4A1307000,5,3,1.77,1.39,29:06.0,31:56.0,0
K4A1307000,5,4,1.38,1.08,32:43.0,36:19.0,0
K4A1198000,5,5,1.11,0.87,38:31.0,42:54.0,0
K4A1135000,5,1,2.8,2.22,12:49.0,18:02.0,0
K4A1205000,5,5,1.08,0.86,28:06.0,32:04.0,0
K4A1206000,5,1,2.79,2.21,04:37.0,10:51.0,0
K4A1206000,5,2,2.21,1.77,11:29.0,14:57.0,0
K4A1206000,5,3,1.78,1.42,15:27.0,18:49.0,0
K4A1186000,5,4,1.39,1.09,49:04.0,53:16.0,0
K4A1186000,5,5,1.09,0.86,53:44.0,57:54.0,0
K4A1329000,5,1,2.85,2.23,13:03.0,20:44.0,0
K4A1329000,5,2,2.21,1.77,21:29.0,24:38.0,0
K4A1329000,5,3,1.78,1.39,24:56.0,28:02.0,0
K4A1365000,5,4,1.39,1.09,57:08.0,01:18.0,0
K4A1365000,5,5,1.09,0.86,01:46.0,07:13.0,0
K4A1376000,5,1,2.02,1.46,15:22.0,28:04.0,0
K4A1231000,5,4,1.39,1.08,40:13.0,43:42.0,0
K4A1231000,5,5,1.09,0.86,44:35.0,49:23.0,0
K4A1162000,5,3,1.76,1.38,47:27.0,50:20.0,0
K4A1162000,5,4,1.38,1.08,50:42.0,54:07.0,0
K4A1162000,5,5,1.08,0.86,54:30.0,58:33.0,0
K4A1413000,5,1,1.98,1.45,27:25.0,38:55.0,0
K4A1213000,5,1,2.8,2.22,12:15.0,19:32.0,0
K4A1213000,5,2,2.22,1.76,20:06.0,23:16.0,0
K4A1154000,5,5,1.12,0.9,36:40.0,41:03.0,0
K4A1027000,5,2,1.44,1.05,25:40.0,30:46.0,0
K4A1027000,5,3,1.05,0.76,31:12.0,36:37.0,0
K4A1012000,5,3,1.21,0.87,26:35.0,31:10.0,0
K4A1012000,5,4,0.88,0.63,31:46.0,37:12.0,0
K4A1046000,4,1,2.01,1.38,25:19.0,37:40.0,0
K4A1299000,4,4,0.65,0.44,05:58.0,13:29.0,0
K470854000,7,1,3.02,2.54,51:08.0,57:26.0,0
K4A0537000,7,1,4.8,3.96,25:07.0,29:32.0,0
K491773000,7,1,3.22,2.66,14:31.0,21:06.0,0
K491773000,7,2,2.66,2.23,21:53.0,23:55.0,0
K491773000,7,3,2.23,1.89,24:15.0,26:36.0,0
K491773000,7,4,1.9,1.61,27:17.0,29:47.0,0
K482418000,7,4,1.5,1.24,59:42.0,02:35.0,0
K482418000,7,5,1.24,1.03,02:54.0,06:31.0,0
K4A0535000,7,2,3.95,3.36,28:49.0,31:05.0,0
K4A0535000,7,3,3.37,2.87,31:27.0,33:54.0,0
K4A0535000,7,4,2.87,2.43,34:16.0,36:20.0,0
K4A0535000,7,5,2.43,2.07,36:38.0,39:29.0,0
K491733000,6,1,3.15,2.6,20:44.0,27:44.0,0
K491733000,6,2,2.61,2.13,28:18.0,30:27.0,0
K491733000,6,3,2.15,1.76,30:47.0,33:13.0,0
K491733000,6,4,1.76,1.45,34:05.0,36:43.0,0
K4A0536000,7,7,1.76,1.52,48:57.0,53:04.0,0
K491691000,6,1,2.16,1.74,37:09.0,46:45.0,0
K491774000,6,1,3.14,2.61,11:52.0,19:06.0,0
K491688000,7,5,0.86,0.71,39:56.0,44:27.0,0
K4A1188000,6,3,1.91,1.58,19:28.0,21:55.0,0
K4A1188000,6,4,1.59,1.32,22:18.0,25:50.0,0
K4A1188000,6,5,1.32,1.09,26:08.0,29:22.0,0
K4A1200000,5,2,2.22,1.77,37:36.0,40:54.0,0
K4A1200000,5,3,1.77,1.42,41:13.0,43:56.0,0
K4A1200000,5,4,1.42,1.14,44:22.0,48:14.0,0
K4A1200000,5,5,1.15,0.91,49:11.0,53:28.0,0
K4A1170000,5,4,1.42,1.13,00:20.0,03:50.0,0
K4A1170000,5,5,1.14,0.9,04:09.0,08:10.0,0
K4A1163000,5,1,2.81,2.22,38:01.0,43:58.0,0
K4A1163000,5,2,2.22,1.77,44:39.0,47:35.0,0
K4A1145000,6,1,2.19,1.69,20:43.0,30:18.0,0
K4A1145000,6,2,1.69,1.29,31:06.0,34:49.0,0
K4A1145000,6,3,1.29,0.99,35:15.0,39:21.0,0
K4A1199000,5,1,2.78,2.22,30:51.0,37:05.0,0
K4A1199000,5,2,2.23,1.76,37:41.0,40:53.0,0
K4A1199000,5,3,1.76,1.38,41:16.0,44:19.0,0
K4A1199000,5,4,1.38,1.08,44:44.0,49:01.0,0
K4A1180000,5,1,2.79,2.22,30:34.0,36:41.0,0
K4A1070000,5,3,1.77,1.4,07:45.0,10:44.0,0
K4A1070000,5,4,1.4,1.1,11:04.0,14:55.0,0
K4A1070000,5,5,1.1,0.87,15:15.0,19:27.0,0
K4A1192000,5,1,2.78,2.23,26:33.0,32:20.0,0
K4A1192000,5,2,2.2,1.76,32:52.0,35:54.0,0
K4A1192000,5,3,1.77,1.39,36:13.0,38:50.0,0
K4A1192000,5,4,1.4,1.1,39:13.0,42:35.0,0
K4A1192000,5,5,1.1,0.86,43:25.0,47:27.0,0
K4A1208000,5,3,1.78,1.42,56:52.0,00:17.0,0
K4A1208000,5,4,1.43,1.14,00:40.0,04:26.0,0
K4A1208000,5,5,1.14,0.9,04:44.0,08:34.0,0
K4A1377000,6,5,1.23,1.01,29:44.0,33:37.0,0
K4A1377000,6,6,1.01,0.85,33:59.0,38:08.0,0
K4A1255000,5,1,2.82,2.23,43:08.0,49:30.0,0
K4A1257000,5,1,2.83,2.22,38:44.0,45:04.0,0
K4A1257000,5,2,2.21,1.76,46:09.0,48:50.0,0
K4A1213000,5,3,1.77,1.38,23:40.0,26:40.0,0
K4A1185000,5,1,2.81,2.21,40:33.0,47:25.0,0
K4A1185000,5,5,1.09,0.86,58:56.0,03:13.0,0
K4A1156000,5,1,2.81,2.23,02:37.0,09:54.0,0
K4A1156000,5,2,2.21,1.76,10:38.0,13:56.0,0
K4A1156000,5,3,1.76,1.38,14:22.0,17:42.0,0
K4A1408000,5,1,2.8,2.21,32:14.0,38:51.0,0
K4A1233000,5,1,2.82,2.21,01:38.0,08:21.0,0
K4A1414000,5,3,1.08,0.78,47:54.0,52:47.0,0
K4A1414000,5,4,0.78,0.56,53:20.0,59:51.0,0
K4A1168000,5,4,1.39,1.09,29:44.0,33:30.0,0
K4A1168000,5,5,1.08,0.85,33:52.0,38:13.0,0
K4A1409000,6,1,2.21,1.68,06:39.0,13:57.0,0
K4A1409000,6,2,1.68,1.29,15:00.0,18:23.0,0
K4A1409000,6,6,0.54,0.41,35:48.0,42:54.0,0
K4A1167000,5,4,1.39,1.08,59:58.0,03:48.0,0
K4A1167000,5,5,1.08,0.85,04:06.0,08:09.0,0
K4A1169000,5,1,2.79,2.25,12:12.0,18:31.0,0
K4A1169000,5,2,2.22,1.76,19:26.0,22:28.0,0
K4A1169000,5,3,1.76,1.38,22:46.0,25:38.0,0
K4A1169000,5,4,1.39,1.09,26:02.0,29:43.0,0
K4A1187000,5,1,2.77,2.24,37:37.0,43:22.0,0
K4A1187000,5,2,2.22,1.76,44:02.0,46:56.0,0
K4A1187000,5,3,1.78,1.38,47:14.0,50:02.0,0
K4A1187000,5,5,1.08,0.85,54:16.0,58:18.0,0
K4A1232000,5,1,2.78,2.24,14:37.0,19:54.0,0
K4A1232000,5,2,2.22,1.76,20:25.0,23:19.0,0
K4A1232000,5,3,1.77,1.38,23:36.0,26:25.0,0
K4A1232000,5,4,1.39,1.08,26:47.0,30:24.0,0
K4A1232000,5,5,1.08,0.85,30:42.0,34:43.0,0
K481476000,6,1,2.82,2.24,09:13.0,15:51.0,0
K481476000,6,2,2.25,1.83,16:25.0,19:03.0,0
K4A0447000,7,1,2.21,1.79,21:31.0,29:27.0,0
K4A0447000,7,7,0.8,0.67,48:33.0,53:58.0,0
K491685000,7,1,1.99,1.61,19:12.0,30:52.0,0
K491685000,7,2,1.6,1.3,32:28.0,36:15.0,0
K491685000,7,3,1.3,1.06,36:39.0,40:02.0,0
K491685000,7,4,1.06,0.88,40:25.0,45:25.0,0
K481499000,6,1,3,2.43,27:33.0,34:16.0,0
K481499000,6,2,2.43,2.01,34:58.0,37:59.0,0
K4A1306000,6,2,2.3,1.91,19:37.0,22:41.0,0
K4A1306000,6,3,1.92,1.58,23:04.0,25:58.0,0
K4A1330000,5,5,1.09,0.87,36:37.0,40:58.0,0
K4A1481000,6,2,1.67,1.3,29:19.0,34:12.0,0
K4A1481000,6,3,1.28,0.97,34:26.0,39:02.0,0
K4A1481000,6,5,0.73,0.55,44:52.0,51:56.0,0
K4A1481000,6,6,0.54,0.41,52:11.0,59:36.0,0
K4A1224000,5,1,2.79,2.23,51:05.0,58:41.0,0
K4A1460000,5,1,2.81,2.22,24:29.0,31:46.0,0
K4A1460000,5,2,2.22,1.77,32:15.0,35:45.0,0
K4A1460000,5,3,1.77,1.41,35:57.0,39:17.0,0
K4A1538000,5,5,0.7,0.52,17:14.0,24:03.0,0
K4A1607000,6,5,0.73,0.56,47:28.0,54:07.0,0
K4A1573000,5,4,0.76,0.54,39:31.0,46:26.0,0
K4A1573000,5,5,0.54,0.39,46:45.0,56:15.0,0
K4A1613000,5,5,0.59,0.42,30:15.0,37:43.0,0
K482338000,5,3,1.55,1.22,59:11.0,02:22.0,0
K482338000,5,4,1.22,0.95,02:32.0,07:03.0,0
K482338000,5,5,0.95,0.75,07:20.0,11:59.0,0
K4A1614000,5,5,0.59,0.42,58:36.0,06:35.0,0
K4A1246000,5,5,1.09,0.87,00:01.0,04:09.0,0
K4A1675000,5,5,0.56,0.41,16:32.0,24:00.0,0
K4A1665000,5,2,1.44,1.08,22:36.0,31:45.0,0
K4A1665000,5,3,1.08,0.79,33:30.0,40:15.0,0
K4A1665000,5,4,0.79,0.56,40:34.0,47:15.0,0
K4A1264000,5,1,2.83,2.22,28:56.0,35:45.0,0
K4A1264000,5,2,2.22,1.76,36:13.0,39:44.0,0
K4A1310000,5,1,2.84,2.24,40:07.0,52:12.0,0
K4A1310000,5,2,2.22,1.76,53:21.0,57:08.0,0
K4A1310000,5,3,1.76,1.38,57:29.0,00:40.0,0
K4A1310000,5,4,1.38,1.08,00:56.0,05:31.0,0
K4A1310000,5,5,1.09,0.87,05:39.0,09:52.0,0
K4A1652000,6,3,1.08,0.78,36:15.0,40:58.0,0
K4A1287000,5,4,1.41,1.11,35:51.0,40:14.0,0
K4A1287000,5,5,1.08,0.87,40:30.0,44:56.0,0
K491337000,8,2,2.96,2.53,37:02.0,40:25.0,0
K491337000,8,3,2.54,2.2,40:30.0,43:07.0,0
K491337000,8,4,2.2,1.92,43:12.0,45:45.0,0
K491337000,8,5,1.93,1.7,45:51.0,48:15.0,0
K4A0672000,7,6,1.37,1.18,56:45.0,02:55.0,0
K4A0672000,7,7,1.17,1.02,03:10.0,08:30.0,0
K4A0673000,7,1,3.22,2.6,14:16.0,25:02.0,0
K4A0673000,7,2,2.6,2.19,25:42.0,29:35.0,0
K4A0674000,7,1,3.2,2.61,22:32.0,28:38.0,0
K4A0675000,6,5,1.6,1.39,09:17.0,12:21.0,0
K4A0675000,6,6,1.38,1.22,12:25.0,15:25.0,0
K4A0869000,6,1,3.51,2.91,56:47.0,02:11.0,0
K4A0869000,6,2,2.9,2.47,02:44.0,05:32.0,0
K4A0869000,6,3,2.48,2.11,05:39.0,07:55.0,0
K481814000,6,3,1.87,1.54,26:55.0,29:31.0,0
K481814000,6,4,1.53,1.29,29:42.0,33:08.0,0
K481814000,6,5,1.28,1.07,33:12.0,36:33.0,0
K461881000,6,5,2.08,1.8,00:03.0,02:19.0,0
K461881000,6,6,1.8,1.6,02:30.0,05:32.0,0
K482117000,7,4,1.3,1.05,26:48.0,30:27.0,0
K482117000,7,5,1.05,0.86,30:33.0,34:47.0,0
K482117000,7,6,0.87,0.72,34:57.0,39:55.0,0
K4A0445000,6,6,0.61,0.51,24:33.0,31:12.0,0
K4A0483000,6,4,0.93,0.75,38:34.0,43:08.0,0
K4A0483000,6,5,0.75,0.61,43:18.0,49:16.0,0
K4A0483000,6,6,0.61,0.51,49:27.0,55:44.0,0
K4A0446000,6,2,1.51,1.19,17:06.0,21:16.0,0
K4A0446000,6,3,1.18,0.93,21:29.0,25:24.0,0
K4A0510000,7,5,1,0.85,08:30.0,12:27.0,0
K4A0510000,7,6,0.86,0.73,12:47.0,18:20.0,0
K4A1721000,6,6,0.58,0.44,20:46.0,31:48.0,0
K4A1702000,6,3,1.21,0.94,56:28.0,01:15.0,0
K4A1702000,6,4,0.94,0.73,01:25.0,06:59.0,0
